Entity,Code,Year,Nuclear,Nuclear (Original Year)
Afghanistan,AFG,2025,0,2024
Albania,ALB,2025,0,2024
Algeria,DZA,2025,0,2024
Angola,AGO,2025,0,2024
Antigua and Barbuda,ATG,2025,0,2024
Argentina,ARG,2025,7.025792,
Armenia,ARM,2025,26.954731,
Australia,AUS,2025,0,2024
Austria,AUT,2025,0,
Azerbaijan,AZE,2025,0,
Bahamas,BHS,2025,0,2024
Bahrain,BHR,2025,0,2024
Bangladesh,BGD,2025,0,
Barbados,BRB,2025,0,2024
Belarus,BLR,2025,36.596935,
Belgium,BEL,2025,33.07724,
Belize,BLZ,2025,0,2024
Benin,BEN,2025,0,2024
Bhutan,BTN,2025,0,2024
Bolivia,BOL,2025,0,
Bosnia and Herzegovina,BIH,2025,0,
Botswana,BWA,2025,0,2024
Brazil,BRA,2025,2.1145058,
Brunei,BRN,2025,0,2024
Bulgaria,BGR,2025,39.12013,
Burkina Faso,BFA,2025,0,2024
Burundi,BDI,2025,0,2024
Cameroon,CMR,2025,0,2024
Canada,CAN,2025,13.0770645,
Cape Verde,CPV,2025,0,2024
Central African Republic,CAF,2025,0,2023
Chad,TCD,2025,0,2024
Chile,CHL,2025,0,
China,CHN,2025,4.6073265,
Colombia,COL,2025,0,
Comoros,COM,2025,0,2023
Congo,COG,2025,0,2024
Costa Rica,CRI,2025,0,
Cote d'Ivoire,CIV,2025,0,2024
Croatia,HRV,2025,0,
Cuba,CUB,2025,0,2024
Cyprus,CYP,2025,0,
Czechia,CZE,2025,42.304638,
Democratic Republic of Congo,COD,2025,0,2024
Denmark,DNK,2025,0,
Djibouti,DJI,2025,0,2024
Dominica,DMA,2025,0,2023
Dominican Republic,DOM,2025,0,
East Timor,TLS,2025,0,2024
Ecuador,ECU,2025,0,
Egypt,EGY,2025,0,2024
Equatorial Guinea,GNQ,2025,0,2024
Eritrea,ERI,2025,0,2024
Estonia,EST,2025,0,
Eswatini,SWZ,2025,0,2024
